범죄대분류,범죄중분류,시도,세부지역,지역원본,발생건수
강력범죄,살인기수,서울,종로구,서울종로구,2
강력범죄,살인미수등,서울,종로구,서울종로구,1
강력범죄,강도,서울,종로구,서울종로구,5
강력범죄,강간,서울,종로구,서울종로구,25
강력범죄,유사강간,서울,종로구,서울종로구,10
강력범죄,강제추행,서울,종로구,서울종로구,204
강력범죄,기타 강간 강제추행등,서울,종로구,서울종로구,0
강력범죄,방화,서울,종로구,서울종로구,4
절도범죄,절도범죄,서울,종로구,서울종로구,1173
폭력범죄,상해,서울,종로구,서울종로구,127
폭력범죄,폭행,서울,종로구,서울종로구,905
폭력범죄,체포감금,서울,종로구,서울종로구,6
폭력범죄,협박,서울,종로구,서울종로구,116
폭력범죄,약취 유인,서울,종로구,서울종로구,2
폭력범죄,폭력행위등,서울,종로구,서울종로구,32
폭력범죄,공갈,서울,종로구,서울종로구,37
폭력범죄,손괴,서울,종로구,서울종로구,332
지능범죄,직무유기,서울,종로구,서울종로구,28
지능범죄,직권남용,서울,종로구,서울종로구,27
지능범죄,증수뢰,서울,종로구,서울종로구,6
지능범죄,통화,서울,종로구,서울종로구,9
지능범죄,문서 인장,서울,종로구,서울종로구,63
지능범죄,유가증권인지,서울,종로구,서울종로구,0
지능범죄,사기,서울,종로구,서울종로구,2032
지능범죄,횡령,서울,종로구,서울종로구,815
지능범죄,배임,서울,종로구,서울종로구,31
풍속범죄,성풍속범죄,서울,종로구,서울종로구,123
풍속범죄,도박범죄,서울,종로구,서울종로구,19
특별경제범죄,특별경제범죄,서울,종로구,서울종로구,523
마약범죄,마약범죄,서울,종로구,서울종로구,100
보건범죄,보건범죄,서울,종로구,서울종로구,119
환경범죄,환경범죄,서울,종로구,서울종로구,1
교통범죄,교통범죄,서울,종로구,서울종로구,657
노동범죄,노동범죄,서울,종로구,서울종로구,4
안보범죄,안보범죄,서울,종로구,서울종로구,11
선거범죄,선거범죄,서울,종로구,서울종로구,2
병역범죄,병역범죄,서울,종로구,서울종로구,22
기타범죄,기타범죄,서울,종로구,서울종로구,1650
강력범죄,살인기수,서울,중구,서울중구,0
강력범죄,살인미수등,서울,중구,서울중구,3
강력범죄,강도,서울,중구,서울중구,6
강력범죄,강간,서울,중구,서울중구,30
강력범죄,유사강간,서울,중구,서울중구,4
강력범죄,강제추행,서울,중구,서울중구,182
강력범죄,기타 강간 강제추행등,서울,중구,서울중구,0
강력범죄,방화,서울,중구,서울중구,13
절도범죄,절도범죄,서울,중구,서울중구,1523
폭력범죄,상해,서울,중구,서울중구,127
폭력범죄,폭행,서울,중구,서울중구,1001
폭력범죄,체포감금,서울,중구,서울중구,8
폭력범죄,협박,서울,중구,서울중구,131
폭력범죄,약취 유인,서울,중구,서울중구,4
폭력범죄,폭력행위등,서울,중구,서울중구,40
폭력범죄,공갈,서울,중구,서울중구,24
폭력범죄,손괴,서울,중구,서울중구,286
지능범죄,직무유기,서울,중구,서울중구,18
지능범죄,직권남용,서울,중구,서울중구,22
지능범죄,증수뢰,서울,중구,서울중구,0
지능범죄,통화,서울,중구,서울중구,59
지능범죄,문서 인장,서울,중구,서울중구,62
지능범죄,유가증권인지,서울,중구,서울중구,2
지능범죄,사기,서울,중구,서울중구,2094
지능범죄,횡령,서울,중구,서울중구,794
지능범죄,배임,서울,중구,서울중구,31
풍속범죄,성풍속범죄,서울,중구,서울중구,108
풍속범죄,도박범죄,서울,중구,서울중구,21
특별경제범죄,특별경제범죄,서울,중구,서울중구,727
마약범죄,마약범죄,서울,중구,서울중구,73
보건범죄,보건범죄,서울,중구,서울중구,108
환경범죄,환경범죄,서울,중구,서울중구,0
교통범죄,교통범죄,서울,중구,서울중구,652
노동범죄,노동범죄,서울,중구,서울중구,3
안보범죄,안보범죄,서울,중구,서울중구,4
선거범죄,선거범죄,서울,중구,서울중구,3
병역범죄,병역범죄,서울,중구,서울중구,18
기타범죄,기타범죄,서울,중구,서울중구,1612
강력범죄,살인기수,서울,용산구,서울용산구,1
강력범죄,살인미수등,서울,용산구,서울용산구,2
강력범죄,강도,서울,용산구,서울용산구,3
강력범죄,강간,서울,용산구,서울용산구,45
강력범죄,유사강간,서울,용산구,서울용산구,4
강력범죄,강제추행,서울,용산구,서울용산구,195
강력범죄,기타 강간 강제추행등,서울,용산구,서울용산구,0
강력범죄,방화,서울,용산구,서울용산구,16
절도범죄,절도범죄,서울,용산구,서울용산구,971
폭력범죄,상해,서울,용산구,서울용산구,107
폭력범죄,폭행,서울,용산구,서울용산구,1018
폭력범죄,체포감금,서울,용산구,서울용산구,7
폭력범죄,협박,서울,용산구,서울용산구,140
폭력범죄,약취 유인,서울,용산구,서울용산구,0
폭력범죄,폭력행위등,서울,용산구,서울용산구,35
폭력범죄,공갈,서울,용산구,서울용산구,50
폭력범죄,손괴,서울,용산구,서울용산구,415
지능범죄,직무유기,서울,용산구,서울용산구,7
지능범죄,직권남용,서울,용산구,서울용산구,13
지능범죄,증수뢰,서울,용산구,서울용산구,2
지능범죄,통화,서울,용산구,서울용산구,11
지능범죄,문서 인장,서울,용산구,서울용산구,43
지능범죄,유가증권인지,서울,용산구,서울용산구,0
지능범죄,사기,서울,용산구,서울용산구,1643
지능범죄,횡령,서울,용산구,서울용산구,492
지능범죄,배임,서울,용산구,서울용산구,21
풍속범죄,성풍속범죄,서울,용산구,서울용산구,127
풍속범죄,도박범죄,서울,용산구,서울용산구,10
특별경제범죄,특별경제범죄,서울,용산구,서울용산구,431
마약범죄,마약범죄,서울,용산구,서울용산구,200
보건범죄,보건범죄,서울,용산구,서울용산구,102
환경범죄,환경범죄,서울,용산구,서울용산구,1
교통범죄,교통범죄,서울,용산구,서울용산구,1076
노동범죄,노동범죄,서울,용산구,서울용산구,4
안보범죄,안보범죄,서울,용산구,서울용산구,3
선거범죄,선거범죄,서울,용산구,서울용산구,0
병역범죄,병역범죄,서울,용산구,서울용산구,30
기타범죄,기타범죄,서울,용산구,서울용산구,1817
강력범죄,살인기수,서울,성동구,서울성동구,1
강력범죄,살인미수등,서울,성동구,서울성동구,1
강력범죄,강도,서울,성동구,서울성동구,2
강력범죄,강간,서울,성동구,서울성동구,22
강력범죄,유사강간,서울,성동구,서울성동구,6
강력범죄,강제추행,서울,성동구,서울성동구,92
강력범죄,기타 강간 강제추행등,서울,성동구,서울성동구,0
강력범죄,방화,서울,성동구,서울성동구,4
절도범죄,절도범죄,서울,성동구,서울성동구,891
폭력범죄,상해,서울,성동구,서울성동구,79
폭력범죄,폭행,서울,성동구,서울성동구,548
폭력범죄,체포감금,서울,성동구,서울성동구,4
폭력범죄,협박,서울,성동구,서울성동구,114
폭력범죄,약취 유인,서울,성동구,서울성동구,3
폭력범죄,폭력행위등,서울,성동구,서울성동구,12
폭력범죄,공갈,서울,성동구,서울성동구,34
폭력범죄,손괴,서울,성동구,서울성동구,211
지능범죄,직무유기,서울,성동구,서울성동구,5
지능범죄,직권남용,서울,성동구,서울성동구,17
지능범죄,증수뢰,서울,성동구,서울성동구,3
지능범죄,통화,서울,성동구,서울성동구,7
지능범죄,문서 인장,서울,성동구,서울성동구,53
지능범죄,유가증권인지,서울,성동구,서울성동구,0
지능범죄,사기,서울,성동구,서울성동구,1829
지능범죄,횡령,서울,성동구,서울성동구,539
지능범죄,배임,서울,성동구,서울성동구,30
풍속범죄,성풍속범죄,서울,성동구,서울성동구,131
풍속범죄,도박범죄,서울,성동구,서울성동구,21
특별경제범죄,특별경제범죄,서울,성동구,서울성동구,320
마약범죄,마약범죄,서울,성동구,서울성동구,95
보건범죄,보건범죄,서울,성동구,서울성동구,29
환경범죄,환경범죄,서울,성동구,서울성동구,1
교통범죄,교통범죄,서울,성동구,서울성동구,935
노동범죄,노동범죄,서울,성동구,서울성동구,3
안보범죄,안보범죄,서울,성동구,서울성동구,1
선거범죄,선거범죄,서울,성동구,서울성동구,2
