범죄대분류,범죄중분류,시도,세부지역,지역원본,발생건수
강력범죄,살인기수,서울,,서울,35
강력범죄,살인미수등,서울,,서울,68
강력범죄,강도,서울,,서울,118
강력범죄,강간,서울,,서울,1200
강력범죄,유사강간,서울,,서울,219
강력범죄,강제추행,서울,,서울,4358
강력범죄,기타강간강제추행등,서울,,서울,35
강력범죄,방화,서울,,서울,217
절도범죄,절도범죄,서울,,서울,37594
폭력범죄,상해,서울,,서울,3353
폭력범죄,폭행,서울,,서울,26509
폭력범죄,체포감금,서울,,서울,243
폭력범죄,협박,서울,,서울,4162
폭력범죄,약취유인,서울,,서울,72
폭력범죄,폭력행위등,서울,,서울,1075
폭력범죄,공갈,서울,,서울,1056
폭력범죄,손괴,서울,,서울,10240
지능범죄,직무유기,서울,,서울,353
지능범죄,직권남용,서울,,서울,392
지능범죄,증수뢰,서울,,서울,71
지능범죄,통화,서울,,서울,172
지능범죄,문서인장,서울,,서울,2033
지능범죄,유가증권인지,서울,,서울,25
지능범죄,사기,서울,,서울,52034
지능범죄,횡령,서울,,서울,16368
지능범죄,배임,서울,,서울,791
풍속범죄,성풍속범죄,서울,,서울,4924
풍속범죄,도박범죄,서울,,서울,545
특별경제범죄,특별경제범죄,서울,,서울,10374
마약범죄,마약범죄,서울,,서울,2821
보건범죄,보건범죄,서울,,서울,4260
환경범죄,환경범죄,서울,,서울,50
교통범죄,교통범죄,서울,,서울,32013
노동범죄,노동범죄,서울,,서울,83
안보범죄,안보범죄,서울,,서울,61
선거범죄,선거범죄,서울,,서울,552
병역범죄,병역범죄,서울,,서울,935
기타범죄,기타범죄,서울,,서울,48367
강력범죄,살인기수,부산,,부산,29
강력범죄,살인미수등,부산,,부산,24
강력범죄,강도,부산,,부산,43
강력범죄,강간,부산,,부산,347
강력범죄,유사강간,부산,,부산,83
강력범죄,강제추행,부산,,부산,1064
강력범죄,기타강간강제추행등,부산,,부산,14
강력범죄,방화,부산,,부산,89
절도범죄,절도범죄,부산,,부산,13699
폭력범죄,상해,부산,,부산,2478
폭력범죄,폭행,부산,,부산,8474
폭력범죄,체포감금,부산,,부산,66
폭력범죄,협박,부산,,부산,1402
폭력범죄,약취유인,부산,,부산,17
폭력범죄,폭력행위등,부산,,부산,572
폭력범죄,공갈,부산,,부산,503
폭력범죄,손괴,부산,,부산,3730
지능범죄,직무유기,부산,,부산,130
지능범죄,직권남용,부산,,부산,156
지능범죄,증수뢰,부산,,부산,17
지능범죄,통화,부산,,부산,20
지능범죄,문서인장,부산,,부산,897
지능범죄,유가증권인지,부산,,부산,7
지능범죄,사기,부산,,부산,26847
지능범죄,횡령,부산,,부산,4469
지능범죄,배임,부산,,부산,273
풍속범죄,성풍속범죄,부산,,부산,1602
풍속범죄,도박범죄,부산,,부산,384
특별경제범죄,특별경제범죄,부산,,부산,3996
마약범죄,마약범죄,부산,,부산,856
보건범죄,보건범죄,부산,,부산,2581
환경범죄,환경범죄,부산,,부산,243
교통범죄,교통범죄,부산,,부산,12176
노동범죄,노동범죄,부산,,부산,37
안보범죄,안보범죄,부산,,부산,13
선거범죄,선거범죄,부산,,부산,138
병역범죄,병역범죄,부산,,부산,164
기타범죄,기타범죄,부산,,부산,24440
강력범죄,살인기수,대구,,대구,16
강력범죄,살인미수등,대구,,대구,15
강력범죄,강도,대구,,대구,31
강력범죄,강간,대구,,대구,215
강력범죄,유사강간,대구,,대구,43
강력범죄,강제추행,대구,,대구,648
강력범죄,기타강간강제추행등,대구,,대구,9
강력범죄,방화,대구,,대구,50
절도범죄,절도범죄,대구,,대구,9792
폭력범죄,상해,대구,,대구,1568
폭력범죄,폭행,대구,,대구,5629
폭력범죄,체포감금,대구,,대구,41
폭력범죄,협박,대구,,대구,933
폭력범죄,약취유인,대구,,대구,7
폭력범죄,폭력행위등,대구,,대구,277
폭력범죄,공갈,대구,,대구,189
폭력범죄,손괴,대구,,대구,2716
지능범죄,직무유기,대구,,대구,64
지능범죄,직권남용,대구,,대구,47
지능범죄,증수뢰,대구,,대구,7
지능범죄,통화,대구,,대구,27
지능범죄,문서인장,대구,,대구,459
지능범죄,유가증권인지,대구,,대구,3
지능범죄,사기,대구,,대구,14836
지능범죄,횡령,대구,,대구,2643
지능범죄,배임,대구,,대구,106
풍속범죄,성풍속범죄,대구,,대구,1125
풍속범죄,도박범죄,대구,,대구,138
특별경제범죄,특별경제범죄,대구,,대구,1917
마약범죄,마약범죄,대구,,대구,306
보건범죄,보건범죄,대구,,대구,777
환경범죄,환경범죄,대구,,대구,16
교통범죄,교통범죄,대구,,대구,12610
노동범죄,노동범죄,대구,,대구,19
안보범죄,안보범죄,대구,,대구,6
선거범죄,선거범죄,대구,,대구,128
병역범죄,병역범죄,대구,,대구,207
기타범죄,기타범죄,대구,,대구,8821
강력범죄,살인기수,인천,,인천,14
강력범죄,살인미수등,인천,,인천,38
강력범죄,강도,인천,,인천,30
강력범죄,강간,인천,,인천,340
강력범죄,유사강간,인천,,인천,61
강력범죄,강제추행,인천,,인천,1030
강력범죄,기타강간강제추행등,인천,,인천,16
강력범죄,방화,인천,,인천,70
절도범죄,절도범죄,인천,,인천,8895
폭력범죄,상해,인천,,인천,1545
폭력범죄,폭행,인천,,인천,8040
폭력범죄,체포감금,인천,,인천,100
폭력범죄,협박,인천,,인천,1411
폭력범죄,약취유인,인천,,인천,18
폭력범죄,폭력행위등,인천,,인천,501
폭력범죄,공갈,인천,,인천,591
폭력범죄,손괴,인천,,인천,3089
지능범죄,직무유기,인천,,인천,95
지능범죄,직권남용,인천,,인천,78
지능범죄,증수뢰,인천,,인천,21
지능범죄,통화,인천,,인천,29
지능범죄,문서인장,인천,,인천,581
지능범죄,유가증권인지,인천,,인천,0
지능범죄,사기,인천,,인천,16652
지능범죄,횡령,인천,,인천,4175
지능범죄,배임,인천,,인천,184
풍속범죄,성풍속범죄,인천,,인천,1507
풍속범죄,도박범죄,인천,,인천,239
특별경제범죄,특별경제범죄,인천,,인천,3025
마약범죄,마약범죄,인천,,인천,1062
보건범죄,보건범죄,인천,,인천,1048
환경범죄,환경범죄,인천,,인천,87
교통범죄,교통범죄,인천,,인천,11926
노동범죄,노동범죄,인천,,인천,14
안보범죄,안보범죄,인천,,인천,7
선거범죄,선거범죄,인천,,인천,104
병역범죄,병역범죄,인천,,인천,400
기타범죄,기타범죄,인천,,인천,17865
강력범죄,살인기수,광주,,광주,1
강력범죄,살인미수등,광주,,광주,2
강력범죄,강도,광주,,광주,10
강력범죄,강간,광주,,광주,152
강력범죄,유사강간,광주,,광주,32
강력범죄,강제추행,광주,,광주,391
강력범죄,기타강간강제추행등,광주,,광주,8
강력범죄,방화,광주,,광주,35
절도범죄,절도범죄,광주,,광주,5204
폭력범죄,상해,광주,,광주,641
폭력범죄,폭행,광주,,광주,3430
폭력범죄,체포감금,광주,,광주,33
폭력범죄,협박,광주,,광주,424
폭력범죄,약취유인,광주,,광주,8
폭력범죄,폭력행위등,광주,,광주,196
폭력범죄,공갈,광주,,광주,113
폭력범죄,손괴,광주,,광주,1457
지능범죄,직무유기,광주,,광주,31
지능범죄,직권남용,광주,,광주,64
지능범죄,증수뢰,광주,,광주,11
지능범죄,통화,광주,,광주,10
지능범죄,문서인장,광주,,광주,319
