범죄대분류,범죄중분류,시도,세부지역,지역원본,발생건수
강력범죄,살인기수,서울,,서울,45
강력범죄,살인미수등,서울,,서울,89
강력범죄,강도,서울,,서울,133
강력범죄,강간,서울,,서울,1254
강력범죄,유사강간,서울,,서울,171
강력범죄,강제추행,서울,,서울,4981
강력범죄,기타강간강제추행등,서울,,서울,52
강력범죄,방화,서울,,서울,252
절도범죄,절도범죄,서울,,서울,42224
폭력범죄,상해,서울,,서울,4598
폭력범죄,폭행,서울,,서울,32893
폭력범죄,체포감금,서울,,서울,192
폭력범죄,협박,서울,,서울,3803
폭력범죄,약취유인,서울,,서울,60
폭력범죄,폭력행위등,서울,,서울,1547
폭력범죄,공갈,서울,,서울,959
폭력범죄,손괴,서울,,서울,10636
지능범죄,직무유기,서울,,서울,143
지능범죄,직권남용,서울,,서울,201
지능범죄,증수뢰,서울,,서울,60
지능범죄,통화,서울,,서울,418
지능범죄,문서인장,서울,,서울,2415
지능범죄,유가증권인지,서울,,서울,56
지능범죄,사기,서울,,서울,57563
지능범죄,횡령,서울,,서울,16963
지능범죄,배임,서울,,서울,1038
풍속범죄,성풍속범죄,서울,,서울,3834
풍속범죄,도박범죄,서울,,서울,1059
특별경제범죄,특별경제범죄,서울,,서울,12823
마약범죄,마약범죄,서울,,서울,1884
보건범죄,보건범죄,서울,,서울,3424
환경범죄,환경범죄,서울,,서울,89
교통범죄,교통범죄,서울,,서울,55273
노동범죄,노동범죄,서울,,서울,96
안보범죄,안보범죄,서울,,서울,102
선거범죄,선거범죄,서울,,서울,27
병역범죄,병역범죄,서울,,서울,2986
기타범죄,기타범죄,서울,,서울,41566
강력범죄,살인기수,부산,,부산,22
강력범죄,살인미수등,부산,,부산,42
강력범죄,강도,부산,,부산,81
강력범죄,강간,부산,,부산,297
강력범죄,유사강간,부산,,부산,48
강력범죄,강제추행,부산,,부산,1111
강력범죄,기타강간강제추행등,부산,,부산,15
강력범죄,방화,부산,,부산,100
절도범죄,절도범죄,부산,,부산,14497
폭력범죄,상해,부산,,부산,3450
폭력범죄,폭행,부산,,부산,10915
폭력범죄,체포감금,부산,,부산,59
폭력범죄,협박,부산,,부산,1450
폭력범죄,약취유인,부산,,부산,16
폭력범죄,폭력행위등,부산,,부산,629
폭력범죄,공갈,부산,,부산,343
폭력범죄,손괴,부산,,부산,3806
지능범죄,직무유기,부산,,부산,68
지능범죄,직권남용,부산,,부산,52
지능범죄,증수뢰,부산,,부산,18
지능범죄,통화,부산,,부산,29
지능범죄,문서인장,부산,,부산,913
지능범죄,유가증권인지,부산,,부산,11
지능범죄,사기,부산,,부산,26061
지능범죄,횡령,부산,,부산,3859
지능범죄,배임,부산,,부산,346
풍속범죄,성풍속범죄,부산,,부산,946
풍속범죄,도박범죄,부산,,부산,827
특별경제범죄,특별경제범죄,부산,,부산,3877
마약범죄,마약범죄,부산,,부산,716
보건범죄,보건범죄,부산,,부산,1664
환경범죄,환경범죄,부산,,부산,221
교통범죄,교통범죄,부산,,부산,20433
노동범죄,노동범죄,부산,,부산,30
안보범죄,안보범죄,부산,,부산,5
선거범죄,선거범죄,부산,,부산,20
병역범죄,병역범죄,부산,,부산,576
기타범죄,기타범죄,부산,,부산,21714
강력범죄,살인기수,대구,,대구,14
강력범죄,살인미수등,대구,,대구,27
강력범죄,강도,대구,,대구,31
강력범죄,강간,대구,,대구,215
강력범죄,유사강간,대구,,대구,39
강력범죄,강제추행,대구,,대구,696
강력범죄,기타강간강제추행등,대구,,대구,11
강력범죄,방화,대구,,대구,62
절도범죄,절도범죄,대구,,대구,9249
폭력범죄,상해,대구,,대구,2233
폭력범죄,폭행,대구,,대구,6842
폭력범죄,체포감금,대구,,대구,62
폭력범죄,협박,대구,,대구,921
폭력범죄,약취유인,대구,,대구,2
폭력범죄,폭력행위등,대구,,대구,371
폭력범죄,공갈,대구,,대구,161
폭력범죄,손괴,대구,,대구,2795
지능범죄,직무유기,대구,,대구,21
지능범죄,직권남용,대구,,대구,21
지능범죄,증수뢰,대구,,대구,6
지능범죄,통화,대구,,대구,23
지능범죄,문서인장,대구,,대구,561
지능범죄,유가증권인지,대구,,대구,5
지능범죄,사기,대구,,대구,14852
지능범죄,횡령,대구,,대구,2595
지능범죄,배임,대구,,대구,134
풍속범죄,성풍속범죄,대구,,대구,580
풍속범죄,도박범죄,대구,,대구,417
특별경제범죄,특별경제범죄,대구,,대구,2187
마약범죄,마약범죄,대구,,대구,295
보건범죄,보건범죄,대구,,대구,334
환경범죄,환경범죄,대구,,대구,22
교통범죄,교통범죄,대구,,대구,21012
노동범죄,노동범죄,대구,,대구,20
안보범죄,안보범죄,대구,,대구,2
선거범죄,선거범죄,대구,,대구,22
병역범죄,병역범죄,대구,,대구,417
기타범죄,기타범죄,대구,,대구,8450
강력범죄,살인기수,인천,,인천,20
강력범죄,살인미수등,인천,,인천,28
강력범죄,강도,인천,,인천,60
강력범죄,강간,인천,,인천,327
강력범죄,유사강간,인천,,인천,46
강력범죄,강제추행,인천,,인천,1181
강력범죄,기타강간강제추행등,인천,,인천,14
강력범죄,방화,인천,,인천,73
절도범죄,절도범죄,인천,,인천,10134
폭력범죄,상해,인천,,인천,1634
폭력범죄,폭행,인천,,인천,12212
폭력범죄,체포감금,인천,,인천,117
폭력범죄,협박,인천,,인천,1287
폭력범죄,약취유인,인천,,인천,11
폭력범죄,폭력행위등,인천,,인천,565
폭력범죄,공갈,인천,,인천,366
