범죄대분류,범죄중분류,시도,세부지역,지역원본,발생건수
강력범죄,살인기수,서울,,서울,50
강력범죄,살인미수등,서울,,서울,88
강력범죄,강도,서울,,서울,141
강력범죄,강간,서울,,서울,1279
강력범죄,유사강간,서울,,서울,197
강력범죄,강제추행,서울,,서울,4211
강력범죄,기타강간강제추행등,서울,,서울,58
강력범죄,방화,서울,,서울,222
절도범죄,절도범죄,서울,,서울,38296
폭력범죄,상해,서울,,서울,3858
폭력범죄,폭행,서울,,서울,27785
폭력범죄,체포감금,서울,,서울,215
폭력범죄,협박,서울,,서울,3896
폭력범죄,약취유인,서울,,서울,53
폭력범죄,폭력행위등,서울,,서울,1187
폭력범죄,공갈,서울,,서울,879
폭력범죄,손괴,서울,,서울,10435
지능범죄,직무유기,서울,,서울,166
지능범죄,직권남용,서울,,서울,181
지능범죄,증수뢰,서울,,서울,61
지능범죄,통화,서울,,서울,206
지능범죄,문서인장,서울,,서울,2360
지능범죄,유가증권인지,서울,,서울,34
지능범죄,사기,서울,,서울,62317
지능범죄,횡령,서울,,서울,16186
지능범죄,배임,서울,,서울,932
풍속범죄,성풍속범죄,서울,,서울,3564
풍속범죄,도박범죄,서울,,서울,1241
특별경제범죄,특별경제범죄,서울,,서울,11539
마약범죄,마약범죄,서울,,서울,2154
보건범죄,보건범죄,서울,,서울,3937
환경범죄,환경범죄,서울,,서울,39
교통범죄,교통범죄,서울,,서울,50895
노동범죄,노동범죄,서울,,서울,55
안보범죄,안보범죄,서울,,서울,124
선거범죄,선거범죄,서울,,서울,201
병역범죄,병역범죄,서울,,서울,748
기타범죄,기타범죄,서울,,서울,41026
강력범죄,살인기수,부산,,부산,21
강력범죄,살인미수등,부산,,부산,30
강력범죄,강도,부산,,부산,38
강력범죄,강간,부산,,부산,306
강력범죄,유사강간,부산,,부산,63
강력범죄,강제추행,부산,,부산,1038
강력범죄,기타강간강제추행등,부산,,부산,10
강력범죄,방화,부산,,부산,87
절도범죄,절도범죄,부산,,부산,14189
폭력범죄,상해,부산,,부산,2935
폭력범죄,폭행,부산,,부산,9975
폭력범죄,체포감금,부산,,부산,78
폭력범죄,협박,부산,,부산,1406
폭력범죄,약취유인,부산,,부산,11
폭력범죄,폭력행위등,부산,,부산,593
폭력범죄,공갈,부산,,부산,354
폭력범죄,손괴,부산,,부산,3734
지능범죄,직무유기,부산,,부산,54
지능범죄,직권남용,부산,,부산,60
지능범죄,증수뢰,부산,,부산,24
지능범죄,통화,부산,,부산,26
지능범죄,문서인장,부산,,부산,873
지능범죄,유가증권인지,부산,,부산,4
지능범죄,사기,부산,,부산,31488
지능범죄,횡령,부산,,부산,3918
지능범죄,배임,부산,,부산,337
풍속범죄,성풍속범죄,부산,,부산,928
풍속범죄,도박범죄,부산,,부산,533
특별경제범죄,특별경제범죄,부산,,부산,3633
마약범죄,마약범죄,부산,,부산,865
보건범죄,보건범죄,부산,,부산,1713
환경범죄,환경범죄,부산,,부산,400
교통범죄,교통범죄,부산,,부산,18201
노동범죄,노동범죄,부산,,부산,18
안보범죄,안보범죄,부산,,부산,5
선거범죄,선거범죄,부산,,부산,64
병역범죄,병역범죄,부산,,부산,205
기타범죄,기타범죄,부산,,부산,21878
강력범죄,살인기수,대구,,대구,15
강력범죄,살인미수등,대구,,대구,13
강력범죄,강도,대구,,대구,33
강력범죄,강간,대구,,대구,213
강력범죄,유사강간,대구,,대구,28
강력범죄,강제추행,대구,,대구,552
